"Sources: Current Population Survey, Bureau of Labor Statistics, and Federal Reserve Bank of Atlanta Calculations. 
Data updates can be found at https://www.frbatlanta/chcs/wage-growth-tracker. 
See the 'definitions' tab in this spreadsheet for explanations of series.  Wage computed on an hourly basis unless otherwise noted.  Reported as 3-month moving averages of monthly series",,,,,,,,,,,,2/13/2023,,,,
date,Unweighted Overall,Services,Full-time,College degree,Prime-age,Female,Male,Job Stayer,Job Switcher,Paid Hourly,Weighted Overall,Weighted 97 Overall,Unweighted Overall: Weekly Basis,25/20 trimmed mean,Lower 1/2 of wage distn,Upper 1/2 of wage distn
1/1/1997,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2/1/1997,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3/1/1997,4.5,4.6,4.5,4.7,4.4,4.6,4.4,4.1,5.2,4.2,4.9,4.9,4.8,4.5,4.8,4.2
4/1/1997,4.6,4.7,4.6,4.6,4.5,4.5,4.6,4.1,5.4,4.3,5,5,4.9,4.5,4.9,4.2
5/1/1997,4.5,4.5,4.6,4.5,4.4,4.5,4.5,4,5.5,4.1,4.9,5,4.8,4.4,5,4.1
6/1/1997,4.6,4.6,4.6,4.7,4.5,4.8,4.6,4.1,5.8,4.4,5,5,5.1,4.6,5.4,3.9
7/1/1997,4.8,4.7,4.7,4.9,4.6,5.1,4.5,4.2,5.9,4.5,5.1,5.1,5.1,4.8,5.8,3.9
8/1/1997,4.9,5,4.8,5.1,4.6,5.2,4.7,4.3,6.1,4.7,5.2,5.1,5.3,4.9,6,3.9
9/1/1997,4.8,4.9,4.8,5,4.5,4.9,4.8,4.3,5.8,4.5,5.1,5,5,4.8,5.6,4.1
10/1/1997,4.8,4.9,4.7,5,4.5,4.8,4.8,4.4,5.6,4.5,5,5,5,4.7,5.2,4.3
11/1/1997,4.8,4.8,4.8,5,4.7,4.8,4.8,4.4,5.8,4.7,5.1,5.1,5,4.6,5.4,4.2
12/1/1997,4.9,4.8,4.8,5.3,4.7,4.9,4.9,4.5,5.7,4.7,5.1,5.1,5.3,4.7,5.5,4.2
1/1/1998,4.9,4.8,4.8,5.1,4.8,4.8,4.9,4.3,6.1,4.7,5.1,5,5.4,4.7,5.6,4.1
2/1/1998,4.8,4.7,4.7,4.9,4.6,4.8,4.7,4.3,5.8,4.6,5,5,5.3,4.7,5.3,4.2
3/1/1998,4.6,4.7,4.5,4.6,4.4,4.7,4.6,4.2,5.6,4.7,4.9,4.9,4.9,4.5,5.3,4.1
4/1/1998,4.9,4.9,4.7,4.7,4.5,5,4.7,4.6,5.4,4.7,5.2,5.2,5,4.7,5.5,4.2
5/1/1998,5.2,5.3,5.1,5.3,4.9,5.3,5,4.9,5.8,4.9,5.4,5.4,5.4,5,5.7,4.6
6/1/1998,5.4,5.5,5.4,5.7,5.1,5.4,5.4,5.1,6,5,5.8,5.8,5.9,5.3,6.1,4.6
7/1/1998,5.4,5.6,5.5,5.8,5.2,5.3,5.6,4.9,6.5,5.2,5.8,5.8,6,5.3,6.4,4.5
8/1/1998,5.3,5.5,5.3,5.5,5,5.2,5.4,4.9,6.4,5.2,5.9,5.9,5.7,5.2,6.5,4.2
9/1/1998,5.1,5.2,5.1,5.3,5,5.1,5.2,4.4,6.7,4.9,5.5,5.5,5.4,5,5.8,4.4
10/1/1998,5,5,5,5.5,5,5.1,4.9,4.4,6.3,4.7,5.4,5.4,5.2,4.9,5.2,4.7
11/1/1998,4.9,4.9,5,5.7,5,5,4.9,4.3,6.4,4.6,5.4,5.4,5.3,4.8,4.9,5
12/1/1998,5,5,5.1,5.4,5,5.2,4.8,4.5,6.3,4.8,5.5,5.5,5.3,4.9,5.3,4.6
1/1/1999,5,4.9,5.1,5.3,5,5,4.8,4.6,5.9,4.7,5.4,5.4,5.2,5,5.3,4.5
2/1/1999,5,5.1,5.1,5.3,5.1,5,5,4.7,5.8,4.7,5.4,5.4,5.2,5,5.5,4.5
3/1/1999,5.2,5.3,5.3,6,5.3,5.1,5.4,4.9,5.8,4.8,5.5,5.6,5.5,5.3,5.8,4.8
4/1/1999,5.2,5.3,5.2,5.8,5.2,5,5.3,4.7,6.1,4.9,5.6,5.6,5.6,5.1,6,4.5
5/1/1999,5.2,5.2,5.3,6,5.3,5,5.5,4.8,6,4.9,5.6,5.6,5.6,5.2,5.7,4.8
6/1/1999,4.9,4.9,5.1,5.4,4.8,4.8,5.1,4.7,5.5,4.7,5.4,5.3,5.3,4.9,5.4,4.6
7/1/1999,5,5.1,5.1,5.4,4.8,4.8,5.2,4.8,5.6,4.7,5.5,5.4,5.4,4.9,5.4,4.7
8/1/1999,4.8,5,5,5.1,4.6,4.7,5,4.6,5.3,4.6,5.3,5.2,5.3,4.8,5.2,4.7
9/1/1999,5,5.2,5.1,5.3,5,4.9,5.1,4.7,5.8,4.6,5.3,5.2,5.5,5,5.1,4.9
10/1/1999,5.1,5.1,5.2,5.4,5.1,5.1,5.1,4.7,6,4.7,5.4,5.4,5.5,5.1,5.1,5.1
11/1/1999,5.2,5.1,5.3,5.3,5.4,5.2,5.2,4.7,6.3,4.7,5.4,5.4,5.6,5.3,5.4,5
12/1/1999,5,5,5.2,5.1,5.2,5,5.2,4.7,6,4.8,5.3,5.3,5.6,5.1,5.3,4.9
1/1/2000,4.9,4.9,5,5.1,4.9,4.8,5.1,4.5,5.9,4.6,5.1,5.1,5.6,4.9,4.9,4.9
2/1/2000,4.8,4.9,4.9,5.3,4.9,4.7,5,4.4,5.7,4.6,5.1,5.1,5.6,4.8,4.9,4.7
3/1/2000,4.8,4.9,4.9,5.3,4.7,4.7,4.9,4.4,5.7,4.4,5,5,5.4,4.8,5,4.6
4/1/2000,4.9,5,4.9,5.1,4.8,4.6,5.2,4.6,5.4,4.6,5.3,5.3,5.4,4.8,5.1,4.6
5/1/2000,4.9,5,4.9,5.1,4.8,5,4.9,4.5,5.7,4.6,5.2,5.2,5.1,5,5.3,4.5
6/1/2000,5,5,5,5,5,5,5.1,4.7,5.9,4.7,5.5,5.5,5.4,5.1,5.5,4.6
7/1/2000,5.1,5.1,5.1,5.1,5,5.3,4.9,4.6,6.3,4.9,5.5,5.5,5.2,5.2,5.5,4.9
8/1/2000,5.1,5.4,5.3,5.1,5,5.2,5.1,4.7,6.3,5,5.7,5.7,5.2,5.2,5.5,5.1
9/1/2000,5.2,5.5,5.3,5.3,5,5.2,5.2,4.7,6.4,5,5.7,5.7,5.3,5.2,5.5,5
10/1/2000,5.2,5.4,5.4,5.4,5.1,5.1,5.4,4.7,6.3,4.9,5.7,5.7,5.5,5.3,5.6,4.9
11/1/2000,5.4,5.5,5.5,5.7,5.4,5.2,5.6,4.9,6.5,5.1,5.9,5.9,5.6,5.4,5.6,5.2
12/1/2000,5.4,5.3,5.5,5.8,5.4,5.2,5.5,4.8,6.4,5.1,5.8,5.8,5.4,5.3,5.5,5.2
1/1/2001,5.4,5.4,5.4,5.7,5.4,5.4,5.3,4.8,6.2,5.1,5.6,5.7,5.4,5.3,5.5,5.2
